epoch;column1;column2;column3;column4;column5;column6;column7;column8;column9;column10;column11;column12;column13
1614419816;1.00;1.00;;;;26.13;36.80;99375.00;2.00;;;;
1614419826;1.00;1.00;;;;26.13;36.60;99379.00;2.00;;;;
1614419836;1.00;1.00;;;;26.13;36.52;99380.00;2.00;;;;
1614419846;1.00;1.00;;;;26.12;36.78;99374.00;2.00;;;;
1614419856;1.00;1.00;;;;26.14;36.95;99377.00;2.00;;;;
1614419866;1.00;1.00;;;;26.14;36.52;99375.00;2.00;;;;
1614419876;1.00;1.00;;;;26.14;36.50;99376.00;2.00;;;;
1614419886;1.00;1.00;;;;26.14;36.41;99376.00;2.00;;;;
1614419896;1.00;1.00;;;;26.15;36.34;99376.00;2.00;;;;
1614419906;1.00;1.00;;;;26.14;36.69;99376.00;2.00;;;;
1614419916;1.00;1.00;;;;26.14;36.53;99375.00;2.00;;;;
1614419926;1.00;1.00;;;;26.14;36.59;99376.00;2.00;;;;
1614419936;1.00;1.00;;;;26.14;36.59;99374.00;2.00;;;;
1614419946;1.00;1.00;;;;26.16;36.76;99374.00;2.00;;;;
1614419956;1.00;1.00;;;;26.17;36.74;99373.00;2.00;;;;
1614419966;1.00;1.00;;;;26.17;36.51;99373.00;2.00;;;;
1614419976;1.00;1.00;;;;26.17;36.52;99375.00;2.00;;;;
1614419986;1.00;1.00;;;;26.18;36.49;99375.00;2.00;;;;
1614419996;1.00;1.00;;;;26.17;36.43;99374.00;2.00;;;;
1614420006;1.00;1.00;;;;26.17;36.38;99371.00;2.00;;;;
1614420016;1.00;1.00;;;;26.17;36.26;99374.00;2.00;;;;
1614420026;1.00;1.00;;;;26.18;36.58;99373.00;2.00;;;;
1614420036;1.00;1.00;;;;26.18;36.36;99372.00;2.00;;;;
1614420046;1.00;1.00;;;;26.18;36.36;99372.00;2.00;;;;
1614420056;1.00;1.00;;;;26.19;36.32;99370.00;2.00;;;;
1614420066;1.00;1.00;;;;26.19;36.63;99370.00;2.00;;;;
1614420076;1.00;1.00;;;;26.19;36.65;99370.00;2.00;;;;
1614420086;1.00;1.00;;;;26.19;36.78;99373.00;2.00;;;;
1614420096;1.00;1.00;;;;26.20;36.75;99371.00;2.00;;;;
1614420106;1.00;1.00;;;;26.19;36.31;99372.00;2.00;;;;
1614420116;1.00;1.00;;;;26.18;36.24;99371.00;2.00;;;;
1614420126;1.00;1.00;;;;26.18;36.26;99371.00;2.00;;;;
1614420136;1.00;1.00;;;;26.17;36.21;99371.00;2.00;;;;
1614420146;1.00;1.00;;;;26.18;36.20;99371.00;2.00;;;;
1614420156;1.00;1.00;;;;26.18;36.14;99373.00;2.00;;;;
1614420166;1.00;1.00;;;;26.18;36.12;99370.00;2.00;;;;
1614420176;1.00;1.00;;;;26.19;36.03;99373.00;2.00;;;;
1614420186;1.00;1.00;;;;26.19;36.00;99371.00;2.00;;;;
1614420196;1.00;1.00;;;;26.19;35.91;99370.00;2.00;;;;
1614420206;1.00;1.00;;;;26.19;36.48;99372.00;2.00;;;;
1614420216;1.00;1.00;;;;26.19;36.24;99374.00;2.00;;;;
1614420226;1.00;1.00;;;;26.20;36.15;99373.00;2.00;;;;
1614420236;1.00;1.00;;;;26.18;36.05;99373.00;2.00;;;;
1614420246;1.00;1.00;;;;26.19;36.23;99373.00;2.00;;;;
1614420256;1.00;1.00;;;;26.20;36.41;99372.00;2.00;;;;
1614420266;1.00;1.00;;;;26.21;36.31;99371.00;2.00;;;;
1614420276;1.00;1.00;;;;26.21;35.92;99372.00;2.00;;;;
1614420286;1.00;1.00;;;;26.20;35.93;99372.00;3.00;;;;
1614420296;1.00;1.00;;;;26.20;36.04;99371.00;3.00;;;;
1614420306;1.00;1.00;;;;26.21;36.08;99371.00;3.00;;;;
1614420316;1.00;1.00;;;;26.22;35.99;99370.00;3.00;;;;
1614420326;1.00;1.00;;;;26.22;35.99;99371.00;3.00;;;;
1614420336;1.00;1.00;;;;26.21;36.01;99371.00;3.00;;;;
1614420346;1.00;1.00;;;;26.22;35.96;99372.00;3.00;;;;
1614420356;1.00;1.00;;;;26.22;35.93;99372.00;3.00;;;;
1614420366;1.00;1.00;;;;26.20;35.91;99372.00;3.00;;;;
1614420376;1.00;1.00;;;;26.19;35.81;99373.00;3.00;;;;
1614420386;1.00;1.00;;;;26.20;35.78;99372.00;3.00;;;;
1614420396;1.00;1.00;;;;26.20;35.77;99373.00;3.00;;;;
1614420406;1.00;1.00;;;;26.19;35.77;99374.00;3.00;;;;
1614420416;1.00;1.00;;;;26.18;35.73;99373.00;3.00;;;;
1614420426;1.00;1.00;;;;26.18;35.71;99373.00;3.00;;;;
1614420436;1.00;1.00;;;;26.18;35.62;99370.00;3.00;;;;
1614420446;1.00;1.00;;;;26.18;35.65;99371.00;3.00;;;;
1614420456;1.00;1.00;;;;26.18;35.65;99373.00;3.00;;;;
1614420466;1.00;1.00;;;;26.18;35.56;99374.00;3.00;;;;
1614420476;1.00;1.00;;;;26.17;35.64;99374.00;3.00;;;;
1614420486;1.00;1.00;;;;26.15;35.55;99375.00;3.00;;;;
1614420496;1.00;1.00;;;;26.15;35.61;99375.00;3.00;;;;
1614420506;1.00;1.00;;;;26.15;35.57;99377.00;3.00;;;;
1614420516;1.00;1.00;;;;26.16;35.56;99375.00;3.00;;;;
1614420526;1.00;1.00;;;;26.15;35.53;99376.00;3.00;;;;
1614420536;1.00;1.00;;;;26.15;35.55;99377.00;2.00;;;;
1614420546;1.00;1.00;;;;26.15;36.13;99375.00;2.00;;;;
1614420556;1.00;1.00;;;;26.17;36.78;99376.00;2.00;;;;
1614420566;1.00;1.00;;;;26.16;36.65;99377.00;2.00;;;;
1614420576;1.00;1.00;;;;26.16;36.42;99377.00;2.00;;;;
1614420586;1.00;1.00;;;;26.17;36.23;99375.00;2.00;;;;
1614420596;1.00;1.00;;;;26.18;35.98;99376.00;2.00;;;;
1614420606;1.00;1.00;;;;26.18;35.91;99377.00;2.00;;;;
1614420616;1.00;1.00;;;;26.18;35.81;99376.00;2.00;;;;
1614420626;1.00;1.00;;;;26.19;35.74;99377.00;2.00;;;;
1614420636;1.00;1.00;;;;26.19;35.70;99376.00;2.00;;;;
1614420646;1.00;1.00;;;;26.19;35.72;99378.00;2.00;;;;
1614420656;1.00;1.00;;;;26.19;35.68;99378.00;2.00;;;;
1614420666;1.00;1.00;;;;26.19;35.68;99375.00;2.00;;;;
1614420676;1.00;1.00;;;;26.19;35.61;99377.00;2.00;;;;
1614420686;1.00;1.00;;;;26.19;35.66;99378.00;2.00;;;;
1614420696;1.00;1.00;;;;26.19;35.73;99376.00;2.00;;;;
1614420706;1.00;1.00;;;;26.19;35.70;99378.00;2.00;;;;
1614420716;1.00;1.00;;;;26.20;36.26;99378.00;2.00;;;;
1614420726;1.00;1.00;;;;26.20;36.16;99378.00;0.00;;;;
1614420736;1.00;1.00;;;;26.20;36.31;99377.00;0.00;;;;
1614420746;1.00;1.00;;;;26.21;36.25;99377.00;0.00;;;;
1614420756;1.00;1.00;;;;26.21;36.02;99378.00;0.00;;;;
1614420766;1.00;1.00;;;;26.20;35.78;99378.00;0.00;;;;
1614420776;1.00;1.00;;;;26.20;35.91;99379.00;0.00;;;;
1614420786;1.00;1.00;;;;26.21;35.85;99380.00;0.00;;;;
1614420796;1.00;1.00;;;;26.21;35.77;99378.00;0.00;;;;
1614420806;1.00;1.00;;;;26.21;35.70;99381.00;0.00;;;;
1614420816;1.00;1.00;;;;26.21;35.70;99382.00;0.00;;;;
1614420826;1.00;1.00;;;;26.21;35.65;99381.00;0.00;;;;
1614420836;1.00;1.00;;;;26.21;35.61;99378.00;0.00;;;;
1614420846;1.00;1.00;;;;26.21;35.59;99379.00;0.00;;;;
1614420856;1.00;1.00;;;;26.20;35.19;99378.00;0.00;;;;
1614420866;1.00;1.00;;;;26.20;35.58;99378.00;0.00;;;;
1614420876;1.00;1.00;;;;26.20;35.51;99379.00;0.00;;;;
1614420886;1.00;1.00;;;;26.20;35.58;99379.00;0.00;;;;
1614420896;1.00;1.00;;;;26.19;35.57;99377.00;0.00;;;;
1614420906;1.00;1.00;;;;26.19;35.57;99380.00;0.00;;;;
1614420916;1.00;1.00;;;;26.20;35.60;99378.00;0.00;;;;
1614420926;1.00;1.00;;;;26.21;35.55;99376.00;0.00;;;;
1614420936;1.00;1.00;;;;26.21;35.57;99377.00;0.00;;;;
1614420946;1.00;1.00;;;;26.21;35.56;99378.00;0.00;;;;
1614420956;1.00;1.00;;;;26.21;35.51;99376.00;0.00;;;;
1614420966;1.00;1.00;;;;26.21;35.45;99377.00;0.00;;;;
1614420976;1.00;1.00;;;;26.21;35.47;99375.00;0.00;;;;
1614420986;1.00;1.00;;;;26.20;35.47;99376.00;0.00;;;;
1614420996;1.00;1.00;;;;26.21;35.48;99375.00;0.00;;;;
1614421006;1.00;1.00;;;;26.20;35.53;99375.00;0.00;;;;
1614421016;1.00;1.00;;;;26.21;35.52;99375.00;0.00;;;;
1614421026;1.00;1.00;;;;26.21;35.40;99377.00;0.00;;;;
1614421036;1.00;1.00;;;;26.21;35.40;99376.00;0.00;;;;
1614421046;1.00;1.00;;;;26.21;35.40;99375.00;0.00;;;;
1614421056;1.00;1.00;;;;26.21;35.44;99373.00;0.00;;;;
1614421066;1.00;1.00;;;;26.21;35.45;99374.00;0.00;;;;
1614421076;1.00;1.00;;;;26.21;35.42;99375.00;0.00;;;;
1614421086;1.00;1.00;;;;26.20;35.42;99373.00;0.00;;;;
1614421096;1.00;1.00;;;;26.20;35.46;99374.00;0.00;;;;
1614421106;1.00;1.00;;;;26.20;35.44;99374.00;0.00;;;;
1614421116;1.00;1.00;;;;26.20;35.46;99376.00;0.00;;;;
1614421126;1.00;1.00;;;;26.20;35.58;99377.00;0.00;;;;
1614421136;1.00;1.00;;;;26.19;35.53;99376.00;0.00;;;;
1614421146;1.00;1.00;;;;26.19;35.54;99376.00;0.00;;;;
1614421156;1.00;1.00;;;;26.19;35.54;99374.00;0.00;;;;
1614421166;1.00;1.00;;;;26.19;35.54;99373.00;0.00;;;;
1614421176;1.00;1.00;;;;26.18;35.61;99376.00;0.00;;;;
1614421186;1.00;1.00;;;;26.18;35.60;99375.00;0.00;;;;
1614421196;1.00;1.00;;;;26.17;35.53;99375.00;0.00;;;;
1614421206;1.00;1.00;;;;26.17;35.50;99374.00;0.00;;;;
1614421216;1.00;1.00;;;;26.16;35.50;99376.00;0.00;;;;
1614421226;1.00;1.00;;;;26.15;35.55;99374.00;0.00;;;;
1614421236;1.00;1.00;;;;26.15;35.55;99376.00;0.00;;;;
1614421246;1.00;1.00;;;;26.14;35.53;99376.00;0.00;;;;
1614421256;1.00;1.00;;;;26.13;35.46;99378.00;0.00;;;;
1614421266;1.00;1.00;;;;26.13;35.47;99376.00;0.00;;;;
1614421276;1.00;1.00;;;;26.12;35.45;99373.00;0.00;;;;
1614421286;1.00;1.00;;;;26.11;35.45;99372.00;0.00;;;;
1614421296;1.00;1.00;;;;26.10;35.46;99373.00;0.00;;;;
1614421306;1.00;1.00;;;;26.10;35.45;99374.00;0.00;;;;
1614421316;1.00;1.00;;;;26.10;35.49;99372.00;0.00;;;;
1614421326;1.00;1.00;;;;26.10;35.48;99375.00;0.00;;;;
1614421336;1.00;1.00;;;;26.09;35.49;99375.00;0.00;;;;
1614421346;1.00;1.00;;;;26.09;35.19;99374.00;0.00;;;;
1614421356;1.00;1.00;;;;26.08;36.07;99373.00;0.00;;;;
1614421366;1.00;1.00;;;;26.07;35.60;99373.00;0.00;;;;
1614421376;1.00;1.00;;;;26.07;35.46;99373.00;0.00;;;;
1614421386;1.00;1.00;;;;26.06;35.46;99373.00;0.00;;;;
